City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Pressure,Country,Date
0,Adamstown,-25.066,-130.1015,73.58,80,100,21.39,1019,PN,1733951261
1,Minbu,20.1833,94.8833,64.58,76,11,4.09,1010,MM,1733951262
2,Mar del Plata,-38.0023,-57.5575,69.94,83,98,4.0,1011,AR,1733951210
3,Edinburgh of the Seven Seas,-37.0676,-12.3116,57.76,72,99,13.35,1024,SH,1733951264
4,Bethel,41.3712,-73.414,60.04,90,100,7.0,995,US,1733950988
5,Albany,42.6001,-73.9662,47.41,96,100,3.0,995,US,1733951109
6,Samcheok,37.4406,129.1708,36.46,82,36,5.12,1022,KR,1733951268
7,Shar,49.5886,81.0453,8.87,82,100,17.76,1041,KZ,1733951269
8,Port-aux-Français,-49.35,70.2167,40.77,81,34,28.27,982,TF,1733951209
9,Invercargill,-46.4,168.35,60.03,70,100,5.01,997,NZ,1733951258
10,Grytviken,-54.2811,-36.5092,39.11,81,87,6.93,1012,GS,1733951005
11,West Island,-12.1568,96.8225,78.78,89,40,17.27,1005,CC,1733951273
12,Brookings,44.3114,-96.7984,4.05,68,0,13.8,1027,US,1733951003
13,Rémire-Montjoly,4.9167,-52.2667,78.84,94,75,3.44,1009,GF,1733951275
14,Ilulissat,69.2167,-51.1,8.62,66,100,8.05,1027,GL,1733951276
15,Puerto Natales,-51.7236,-72.4875,66.65,39,40,17.27,1001,CL,1733951277
16,Puerto Princesa City,9.7392,118.7353,79.3,88,100,9.17,1007,PH,1733951278
17,Blackmans Bay,-43.0167,147.3167,59.13,72,99,6.2,999,AU,1733951279
18,Longyearbyen,78.2186,15.6401,13.84,57,40,16.11,1025,SJ,1733951281
19,Port Mathurin,-19.6833,63.4167,77.13,74,20,17.58,1014,MU,1733951282
20,Puerto Lempira,15.2667,-83.7667,82.6,75,36,10.4,1013,HN,1733951270
21,Bredasdorp,-34.5322,20.0403,63.36,81,94,4.05,1015,ZA,1733951285
22,Arvayheer,46.2639,102.775,8.01,71,100,2.84,1030,MN,1733951286
23,Lompoc,34.6391,-120.4579,71.69,38,0,6.91,1018,US,1733951184
24,New Norfolk,-42.7826,147.0587,59.92,70,92,7.14,1000,AU,1733951289
25,Udachny,66.4167,112.4,-1.62,90,100,6.42,1009,RU,1733951290
26,Kalmunai,7.4167,81.8167,77.95,91,95,7.52,1006,LK,1733951291
27,Pudozh,61.8099,36.5345,29.7,87,100,8.41,1005,RU,1733951292
28,Caculé,-14.5033,-42.2222,83.07,42,77,3.36,1008,BR,1733951293
29,Suances,43.4334,-4.0434,46.98,96,100,3.44,1021,ES,1733951294
30,Selfoss,63.9331,-20.9971,42.04,87,100,16.55,1009,IS,1733951295
31,La Foa,-21.7108,165.8276,83.44,57,100,3.15,1009,NC,1733951296
32,Nagqu Prefecture,31.5,92.0,22.35,10,0,13.4,1009,CN,1733951297
33,Arrondissement de Saint-Denis,48.9167,2.3333,42.08,81,100,11.5,1030,FR,1733951298
34,Ribeira Grande,38.5167,-28.7,63.77,82,40,8.05,1026,PT,1733951299
35,Mananara,-16.1667,49.7667,73.99,90,38,4.27,1014,MG,1733951300
36,Port Elizabeth,-33.918,25.5701,70.32,95,57,1.01,1014,ZA,1733951301
37,Medina,24.4686,39.6142,70.23,18,0,9.22,1019,SA,1733951303
38,Vilyuchinsk,52.9306,158.4028,5.27,86,96,9.78,990,RU,1733951304
39,Зуунмод,47.7069,106.9528,-6.57,99,100,3.4,1031,MN,1733951305
40,Xilin Hot,43.9667,116.0333,8.01,93,94,2.39,1032,CN,1733951116
41,Conde,-7.2597,-34.9075,81.86,74,75,10.36,1011,BR,1733951308
42,Utrik,11.2278,169.8474,81.59,77,8,21.09,1011,MH,1733951309
43,Ust-Nera,64.5667,143.2,-27.33,100,98,1.28,1020,RU,1733951310
44,Vadsø,70.0744,29.7487,24.96,86,92,21.85,1002,NO,1733951311
45,Puerto Ayora,-0.7393,-90.3518,74.55,94,85,5.99,1010,EC,1733951313
46,Cabedelo,-6.9811,-34.8339,83.07,79,13,10.13,1011,BR,1733951314
47,Ixtapa,20.7,-105.2,79.83,69,0,8.05,1011,MX,1733951315
48,Papatowai,-46.5619,169.4708,59.92,58,100,8.23,998,NZ,1733951316
49,Vorgashor,67.5833,63.95,13.12,96,99,7.61,983,RU,1733951317
50,Bilibino,68.0546,166.4372,-15.02,98,100,0.94,1008,RU,1733951318
51,Ola,59.5833,151.2833,-6.7,89,9,12.75,1000,RU,1733951319
52,Mendoza,-32.8908,-68.8272,90.77,20,0,10.45,1004,AR,1733951320
53,Thompson,55.7435,-97.8558,-14.64,70,75,9.22,1025,CA,1733951321
54,Antón Lizardo,19.05,-95.9833,69.22,65,86,37.38,1025,MX,1733951322
55,Killarney,52.05,-9.5167,34.27,93,20,3.58,1035,IE,1733951323
56,Whitefish,48.4111,-114.3376,35.51,75,75,0.0,1021,US,1733951325
57,Avarua,-21.2078,-159.775,82.45,69,20,14.97,1013,CK,1733951326
58,Kamyanyets,52.4001,23.81,32.36,96,100,8.16,1024,BY,1733951327
59,Hamilton,39.1834,-84.5333,36.84,70,100,10.36,1015,US,1733950742
60,Stanley,54.868,-1.6985,38.5,88,75,2.3,1036,GB,1733951329
61,Hawaiian Paradise Park,19.5933,-154.9731,78.89,89,40,9.22,1020,US,1733951330
62,Saint Paul Harbor,57.79,-152.4072,38.71,100,100,0.0,988,US,1733951306
63,Katabu,-4.9333,122.5167,76.01,94,99,1.97,1006,ID,1733951333
64,Tura,25.5198,90.2201,54.45,82,6,3.44,1013,IN,1733951334
65,Queenstown,-31.8976,26.8753,63.91,84,70,6.24,1015,ZA,1733951335
66,Tôlanaro,-25.0319,46.9987,76.66,77,8,15.59,1012,MG,1733951336
67,Nova Viçosa,-17.8919,-39.3719,78.01,80,98,7.49,1010,BR,1733951339
68,Margaret River,-33.95,115.0667,62.83,92,23,12.64,1009,AU,1733951340
69,Pangody,65.85,74.4859,17.1,94,100,13.29,988,RU,1733951341
70,Fort Bragg,35.139,-79.006,62.44,84,100,16.11,1008,US,1733951342
71,Jining,35.405,116.5814,32.77,64,99,4.61,1029,CN,1733951343
72,São Tomé,0.3365,6.7273,79.63,80,59,6.26,1013,ST,1733951344
73,Conduaga,8.862,117.4893,77.94,87,100,2.71,1006,PH,1733951345
74,Olonkinbyen,70.9221,-8.7187,19.13,59,100,13.76,1038,SJ,1733951346
75,Yaren,-0.5472,166.916,82.56,79,19,15.68,1007,NR,1733951347
76,Clorinda,-25.2848,-57.7185,93.97,46,71,4.9,1004,AR,1733951348
77,Waitangi,-43.9535,-176.5597,58.19,84,100,13.11,1013,NZ,1733951349
78,Badger,64.8,-147.5333,15.98,91,75,0.0,998,US,1733951350
79,Al Mijlad,11.0333,27.7333,75.61,20,1,14.12,1011,SD,1733951352
80,Atafu Village,-8.5421,-172.5159,82.67,73,100,6.89,1008,TK,1733951353
81,College,64.8569,-147.8028,16.07,85,75,0.0,998,US,1733951354
82,Saipan,15.1355,145.701,83.1,82,40,13.8,1011,MP,1733951355
83,Bandarbeyla,9.4942,50.8122,76.59,69,64,22.88,1014,SO,1733951356
84,Port Lincoln,-34.7333,135.8667,61.09,78,0,4.65,1013,AU,1733951357
85,Tazacorte,28.629,-17.9293,64.15,78,40,9.22,1021,ES,1733951358
86,Hithadhoo,-0.6,73.0833,81.99,79,100,14.27,1008,MV,1733951359
87,Sisimiut,66.9395,-53.6735,8.85,94,73,6.71,1026,GL,1733951360
88,Booué,-0.0921,11.9385,75.4,92,93,3.27,1012,GA,1733951361
89,Cooper’s Town,26.8667,-77.5167,74.37,82,16,13.09,1017,BS,1733951362
90,Holdrege,40.4403,-99.3698,40.91,52,0,4.61,1020,US,1733951364
91,Zahedan,29.4963,60.8629,35.01,47,0,3.51,1026,IR,1733951236
92,Port Douglas,-16.4833,145.4667,81.36,80,100,1.28,1006,AU,1733951366
93,Kapuskasing,49.4169,-82.4331,10.02,95,100,4.47,1009,CA,1733951367
94,Lebu,-37.6167,-73.65,59.14,74,0,16.58,1016,CL,1733951368
95,Grand Gaube,-20.0064,57.6608,76.37,88,72,1.99,1014,MU,1733951369
96,Yellowknife,62.456,-114.3525,-8.59,96,98,3.0,1028,CA,1733951290
97,Cold Springs,39.6802,-119.9766,51.84,20,0,6.91,1016,US,1733951371
98,Isafjordur,66.0755,-23.124,35.53,96,96,7.87,1007,IS,1733951372
99,Florø,61.5996,5.0328,35.56,100,40,4.61,1032,NO,1733951374
100,Lodja,-3.4833,23.4333,70.09,94,95,1.25,1012,CD,1733951375
101,Klyuchi,52.2667,79.1667,18.91,69,100,19.75,1029,RU,1733951376
102,Yigou,35.8114,114.3167,33.87,70,100,2.04,1030,CN,1733951377
103,Stavern,59.0,10.0333,29.12,71,40,3.91,1033,NO,1733951379
104,Podgornoye,51.735,39.1496,32.22,100,100,4.47,1011,RU,1733951380
105,Sitka,57.0531,-135.33,49.89,57,100,18.41,1005,US,1733951381
106,Petropavlovsk-Kamchatskiy,53.0452,158.6483,3.79,78,20,4.47,989,RU,1733951382
107,Labrador City,52.9463,-66.9114,26.51,90,100,3.44,1012,CA,1733951383
108,Naryan-Mar,67.6713,53.087,22.95,92,99,13.65,987,RU,1733951384
109,Magog,45.2668,-72.1491,35.04,100,100,2.46,998,CA,1733951385
110,Aksay,51.1678,52.995,18.54,90,19,9.17,1017,KZ,1733951386
111,Kourou,5.1552,-52.6478,79.3,80,98,5.79,1009,GF,1733951387
112,Ushuaia,-54.8,-68.3,51.84,77,99,10.16,1000,AR,1733951228
113,Antofagasta,-23.65,-70.4,65.48,78,100,7.63,1012,CL,1733951389
114,Villaguay,-31.8653,-59.0269,88.3,27,69,11.95,1008,AR,1733951390
115,Ukiah,39.1502,-123.2078,62.37,39,0,0.0,1019,US,1733951392
116,Anadyr,64.75,177.4833,32.5,86,75,11.18,988,RU,1733951393
117,Margate,51.3813,1.3862,45.7,79,100,3.0,1032,GB,1733950909
118,Pacific Grove,36.6177,-121.9166,67.35,55,0,5.75,1019,US,1733951395
119,Ust-Tsilma,65.441,52.1498,8.78,99,100,4.05,989,RU,1733951396
120,Yoko,5.5333,12.3167,78.04,25,100,4.52,1011,CM,1733951397
121,Trairi,-3.2778,-39.2689,79.74,79,9,11.81,1009,BR,1733951316
122,Pariaman,-0.619,100.12,73.78,92,100,6.08,1008,ID,1733951399
123,Qaqortoq,60.7167,-46.0333,11.66,88,12,1.07,1019,GL,1733951400
124,Gamba,-2.65,10.0,76.91,87,100,4.36,1013,GA,1733951401
125,Iqaluit,63.7506,-68.5145,4.73,94,100,4.56,1027,CA,1733951402
126,Biltine,14.5333,20.9167,72.66,16,6,9.04,1014,TD,1733951404
127,Viedma,-40.8135,-62.9967,70.52,54,99,19.75,1009,AR,1733951405
128,Novoagansk,61.9449,76.6625,17.65,92,100,12.93,998,RU,1733951406
129,Notsé,6.95,1.1667,79.88,72,100,5.91,1011,TG,1733951407
130,Hajjah,15.6943,43.6058,60.19,72,1,1.48,1017,YE,1733951369
131,George Town,5.4112,100.3354,80.53,82,20,3.0,1006,MY,1733951409
132,Aykhal,66.0,111.5,-2.31,97,100,13.38,1010,RU,1733951410
133,Newman,37.3138,-121.0208,61.36,31,3,5.68,1019,US,1733951413
134,Swakopmund,-22.6833,14.5333,62.67,92,66,7.99,1013,NA,1733951414
135,Kandete,-9.15,33.8,63.34,78,44,2.19,1016,TZ,1733951415
136,Gobabis,-22.45,18.9667,80.49,26,31,8.21,1011,NA,1733951416
137,Kuta,-8.7233,115.1723,76.95,100,40,2.3,1005,ID,1733951417
138,Narimanov,46.6927,47.8498,39.16,96,100,6.67,1015,RU,1733951418
139,Tiksi,71.6872,128.8694,-24.29,98,45,4.32,1017,RU,1733951419
140,Kruisfontein,-34.0033,24.7314,68.04,81,99,6.73,1014,ZA,1733951420
141,Obo,5.3998,26.4869,76.59,34,15,3.15,1010,CF,1733951421
142,Nyurba,63.2842,118.3319,-1.17,95,95,7.07,1016,RU,1733951422
143,Durango,24.8333,-104.8333,58.24,23,88,11.14,1020,MX,1733951341
144,Northam,51.0333,-4.2167,44.04,76,99,13.09,1033,GB,1733951425
145,Cidreira,-30.1811,-50.2056,70.5,73,3,13.49,1015,BR,1733951426
146,Kailua-Kona,19.6406,-155.9956,82.27,69,20,8.05,1018,US,1733951427
147,Lihue,21.9789,-159.3672,78.39,73,40,19.57,1021,US,1733951428
148,Dryden,49.7833,-92.7503,-3.71,71,100,12.66,1021,CA,1733951429
149,East London,-33.0153,27.9116,71.91,81,90,5.64,1014,ZA,1733951430
150,Prado,-17.3411,-39.2208,78.67,81,97,12.46,1010,BR,1733951431
151,Roshchino,60.2519,29.6085,29.84,73,46,14.47,1015,RU,1733951432
152,Dingli,35.8614,14.3822,57.81,72,75,5.75,1023,MT,1733951433
153,Jamestown,42.097,-79.2353,33.03,96,100,15.01,1005,US,1733951144
154,Hermanus,-34.4187,19.2345,61.81,79,91,8.3,1016,ZA,1733951435
155,Olyokminsk,60.3736,120.4264,3.88,93,99,4.99,1021,RU,1733951436
156,Mariental,-24.6333,17.9667,90.84,20,96,13.15,1009,NA,1733951437
157,Hassi Messaoud,31.6804,6.0729,58.08,35,59,10.0,1017,DZ,1733951439
158,Kangundo,-1.2979,37.3471,58.1,93,100,0.49,1016,KE,1733951440
159,Yanbu,24.0891,38.0637,69.84,52,0,4.61,1014,SA,1733951441
160,Pak Phanang,8.3511,100.202,78.84,80,100,8.32,1005,TH,1733951442
161,Kayangel,8.0823,134.7173,83.82,79,100,18.07,1006,PW,1733951443
162,Nemuro,43.3236,145.575,27.12,56,5,24.65,1007,JP,1733951169
163,Saynshand,44.8824,110.1163,16.12,87,94,7.05,1029,MN,1733951446
164,Punta Arenas,-53.15,-70.9167,62.71,39,0,14.97,1000,CL,1733951447
165,Winkler,49.1817,-97.941,-12.82,87,85,10.56,1029,CA,1733951448
166,Kirkland Lake,48.1446,-80.0377,17.67,93,100,6.8,1004,CA,1733951450
167,Kaoma,-14.7833,24.8,75.16,48,79,6.46,1011,ZM,1733951451
168,Castro,-24.7911,-50.0119,66.81,85,61,8.5,1012,BR,1733951452
169,Afaahiti,-17.75,-149.2833,75.2,85,100,24.65,1010,PF,1733951453
170,Fuyuan,46.4333,127.0833,-13.58,100,99,4.34,1028,CN,1733951455
171,Arraial do Cabo,-22.9661,-42.0278,76.86,73,20,8.05,1014,BR,1733951456
172,Talnakh,69.4865,88.3972,5.94,91,100,19.3,1000,RU,1733951457
173,Gulf Shores,30.246,-87.7008,57.34,41,0,12.66,1024,US,1733951370
174,Kalabo,-14.97,22.6814,81.0,37,80,2.73,1010,ZM,1733951460
175,Uturoa,-16.7333,-151.4333,75.83,87,100,17.52,1010,PF,1733951461
176,Hengchun,22.0042,120.7439,71.44,79,100,20.18,1015,TW,1733951462
177,St. John's,47.5649,-52.7093,41.14,95,100,7.0,1032,CA,1733951235
178,Shaping,22.7545,112.9565,57.33,56,83,10.87,1018,CN,1733951464
179,Gwadar,25.1216,62.3254,65.64,33,0,16.69,1019,PK,1733951465
180,Kumul,42.8,93.45,19.45,75,56,2.08,1045,CN,1733951466
181,Mwinilunga,-11.7358,24.4293,63.81,90,30,3.85,1014,ZM,1733951467
182,Mukalla,14.5425,49.1242,74.03,44,0,3.85,1016,YE,1733951469
183,Bardai,11.65,7.2333,72.34,25,100,9.13,1014,NG,1733951470
184,Port Augusta,-32.5,137.7667,67.78,48,0,7.61,1012,AU,1733951472
185,Aasiaat,68.7098,-52.8699,-3.1,95,52,4.81,1026,GL,1733951404
186,Fale old settlement,-9.3852,-171.2468,81.5,75,85,4.85,1008,TK,1733951474
187,São João do Paraíso,-15.3136,-42.0144,78.84,55,85,2.48,1009,BR,1733951475
188,Broken Hill,-31.95,141.4333,66.34,40,0,14.63,1012,AU,1733951476
189,Abakaliki,6.3163,8.1169,82.42,46,62,6.71,1010,NG,1733951477
190,Prince George,53.9166,-122.753,30.61,100,100,3.44,1017,CA,1733951466
191,Ocher,57.8904,54.7202,26.17,93,99,12.55,998,RU,1733951479
192,Singkil,-7.9855,111.4161,76.5,90,81,1.16,1006,ID,1733951480
193,Wanning,18.8003,110.3967,71.29,90,99,11.36,1013,CN,1733951481
194,Zeya,53.75,127.2667,-2.65,90,81,3.83,1020,RU,1733951483
